date,value
1962,53.49679848
1963,54.02202426
1964,54.69192275
1965,55.35110994
1966,56.08261772
1967,56.78732489
1968,57.38647647
1969,57.99566817
1970,58.58318621
1971,59.1104609
1972,59.59650884
1973,60.04512062
1974,60.54066392
1975,60.98672993
1976,61.40878991
1977,61.83263447
1978,62.19337443
1979,62.5554089
1980,62.84166975
1981,63.18250514
1982,63.50891655
1983,63.75702134
1984,64.02154483
1985,64.27905294
1986,64.57973312
1987,64.83086224
1988,65.03487342
1989,65.24739294
1990,65.43340711
1991,65.61946655
1992,65.77055346
1993,65.88763103
1994,66.08954668
1995,66.27816947
1996,66.55983456
1997,66.84464477
1998,67.0868315
1999,67.29314612
2000,67.54924939
2001,67.82179748
2002,68.07041896
2003,68.32698054
2004,68.65233175
2005,68.920304
2006,69.26240241
2007,69.59205085
2008,69.89926979
2009,70.24653852
2010,70.55615964
2011,70.88406838
2012,71.17165012
2013,71.46215327
2014,71.74227912
2015,71.94740292
2016,72.18075838
2017,72.38557532
2018,72.56327448
