Week,,,,,,
,unknown,0-4 years,5-17 years,18-49 years,50-64 years,65+ years
202010,12,4.4,7.2,10.2,12.9,15.9
202011,10.1,2.8,4.4,9,12.3,12.3
202012,10,2.2,4,8.5,11.5,13
202013,16.4,4.1,5.7,12.9,18.9,21.6
202014,17.8,5.9,11.8,13,19.3,24.8
202015,18.3,4.8,10.3,12.7,18.3,27.1
202016,18.2,8,9.9,14.6,17.4,24.5
202017,16.5,6.1,13.3,14.6,16.2,20
202018,12.9,9.1,12.1,12.2,12.1,14.9
202019,10.8,5.9,12,10.7,9.4,12.1
202020,8.5,7.5,10,8.9,7.2,8.6
202021,6.9,7,10.3,7.1,5.9,6.8
202022,5.7,9,10.3,6,4.9,5.3
202023,5,8,9.9,5.5,4.1,4.3
202024,5.2,9.8,10.8,5.8,4.3,4
202025,5.5,9.2,10.8,6.4,4.5,3.8
202026,6.5,9.8,11.5,7.6,5.1,4.5
202027,6.1,9.7,9.7,7,5.2,4
202028,7.5,9,10.7,8.3,6.5,5.6
202029,8,9.6,12.2,8.8,6.9,5.8
